Tokopedia Ads	URL	Product Name	Product Sold	Price
Ad	https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEosrRHpUp6_HDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUsthbm-7q3OBUsthosJpHsJaoAUabm-srcHi6seFHmFiy3zwrfo5rM1i6sjN6ZdNoseNoaFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfB6epzN_7zuH7O119BvzV1p_uzz81YJ33BHe72kgJxGgMHauMxsQ1N5Z325q1ONoAuouVJh_OzCH7NJyR2o8jJO_M2CH7B2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-qjOE3BzsPO2W_9PHuVjh3_-zPJNI__z68_n7_7zGQJh9u9P6uVgW_M2SoVBku9xqe7BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-Q9PNyjrNHfgU8IoouRxfgAod6cHp1SzMZIxp__JdH1NkZ3BHe72E3_UN8u2363BsQ_jpyp-uq1Y2Z92o8BBO_Bzs81OEZ_zvuV1h_320oJNE33BHe72E3_UN8u23692qu7gN3_-Sq1Y2Z9B68BBO_S2goJN1qpz6zcDa_uzzH1NkyfBM1_7YUiFiP9oBrBY2gmUEUsnibm-xQcri6i-pPcOwQAowQA-wQAJibm-XP3Oig9-wQfgwy3zpUstaHmFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2QosnDHs1Do_ya9ZFiQBYsy3Njq3zxPcuwy3zpUsthHpHDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUstpHp1poiFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDio_yaUiFiH_naomUDUsyp6mUDUsHfUiFio_rOUBOY?ob=23&is_search=1&page=1&management_type=1&dv=desktop&src=search&keywords=bluetooth+speaker+lamp&t=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fbluekomputer%2Fbohlam-speaker-musik-bluetooth-2-in-1-lampu-speaker-led-lampu-speaker%3Fsrc%3Dtopads	Bohlam Speaker Musik Bluetooth 2 in 1 Lampu Speaker LED LAMPU SPEAKER	325	55000
Ad	https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEop1hHpKpHpeDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstabm-7q3OBUsthosJpHsJaoAUabm-srcHi6seOHmFiy3zwrfo5rM1i6sjRomdN6_UOoZFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBo8_eO_32VH1Nkgp-oqMHF_BzCo1YJe9B-q9P23_oZ8uKp_Mhg3J2ky1o-ojBk19u6ucod_jz-oJN1yRx6zJj7_Bzs8JB2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-qjOE3BzsPO2W_9PHuVjh3_-zPJNI__z68_n7_7zGQJh9u9P6uVgW_M2SoVBku9xqe7BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-Q9PNyjrNHfgU8IoouRxfgAod6cHp1SzMZIxp__JdH1NkZ3BHe72E3_UN8u2363BsQ_jpyp-uq1Y2Z926zcoO_1zS8JOke9Poqj1F_Oz0q1hAZS2gHsBN3ByN8B29zSBgHMP2_fB-81NkqRuvzV1a_S2soJNkypzozVud_uoG6ZUDUSupg9-wq3ei6iUFUiFiy3hSUstirRzW9fFp9fFa9fFhUiFiQSuWyMua9fYM9fVjraUEHsnDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pyFbAUObA1fHB7DUMNwyfVXgcBjy9zB9fVjraUEH_Hpbm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstiyRCs9RotQRCwP3NhUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUEosUhoaFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDio_yaUiFiH_naomUDUsyp6mUDUsHfUiFio_rOUBOY?t=desktop&src=search&is_search=1&ob=23&dv=desktop&keywords=bluetooth+speaker+lamp&page=1&management_type=1&r=https%3A%2F%2Fwww.tokopedia.com%2Ftampofamily%2Fspeaker-murotal-quran-30-juz-lampu-tidur-bisa-bluetooth-alquran-8gb%3Fsrc%3Dtopads	Speaker Murotal Quran 30 Juz Lampu Tidur + Bisa Bluetooth - Alquran, 8GB	293	129900
Ad	https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEo_UN6AyN6_rDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstpbm-7q3OBUsthosJpHsJaoAUabm-srcHi6syOHmFiy3zwrfo5rM1i6sjRHid7osUabm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1OAZ9o-Q1dFyfFN8B29zSBgHMP2_fB-P7B2PfBxHByOgAUN8u2c692gHsBN3Bo-ojBke3BHe72OysUOqB2_Z_g-qjOE3BzsPO2W_9PHuVjh3_-zPJNI__z68_n7_7zGQJh9u9P6uVgW_M2SoVBku9xqe7BpZ37N83V9gICiQAB03BxmgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Aom83Ua1sVgHO-MyuPzq1Y2Z9P-q9P2ysoGrVtaQIuyH7N5ysomgMV913Bvq1BRZ3BRq3oyuMhsQMhMgJPcQMoNZ_g-Q9PNyjrNHfgU8IoouRxfgAod6cHp1SzMZIxp__JdH1NkZ3BHe72E3_UN8u2363BsQ_jpyp-uq1Y2Z9B6qMoO_S2uHjOku_uvzcWN_32-o1O2Z9o-QjNkysoGQVKp_Mhg3J2ky1o-ojBkZ_-v1pzd_BzgHJNJ3_C6ucPN_Oz-81NAZsjibm-Orfua9fBjUstiHmUDUMVDgaUEUSo7QuYDHOYDHBYDHZUDUMNOQ3-BrBY5gBYxgIHi6sUFbm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDfHmFaoZFOos-Pbm-X9foxQMz2gcV7guYxgIHi6sJpHaFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMoFyOYpqcYF9RuXrZUDUSgBrSo2Qfdi6i-fHiUDUMoDP9o7g9-wq3zwPsUi6sJOHpHabm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aUOosUibmUhHAU7UiFiosHdUiFiHpyibmUOop1i997?keywords=bluetooth+speaker+lamp&t=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fyuhai0055%2Flampu-tidur-led-warna-warni-dengan-speaker-bluetooth-wireless%3Fsrc%3Dtopads&src=search&page=1&dv=desktop&ob=23&management_type=2&is_search=1	Lampu Tidur LED Warna-warni dengan Speaker Bluetooth Wireless	6	95000
Ad	https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEosyfH_1aH_eDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstObm-7q3OBUsthosJpHsJaoAUabm-srcHi6seFHmFiy3zwrfo5rM1i6sjfomdFoArpoiFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z_-HqMrO_M2uH1O1yRB6zJuE_S208jO_Z9o-Q9zDguxjPMoW1MgsHjNfyfOuq1Y2Z9P-q9P2yM7NPujau3Bvq1BE__-uH7OI3M2oepna_BP6q7h11M2vzco7_7zS8u2_H3hozV1h3M2goJYIZ_VouOV2_JoGPMoWQcNxupuM3jP3POKaQcW-qMY2_1o-r7BW69BxufzFyMFNPfoW63Wju7dF3A-Dq7BkQfBoe7BpZ37N83V9gICiQABEy1rNPOKaQcW-qMY2_1o-r7BXzsVq3JtO3AoZqVtp_3Bvq12p_3OdPMep8AxizJgpysoj6cgU_sCi3IKdyjz6gjN139B-q9P2yp-6PMoWuMggQj2fgAo6QJBkQfBo8jJF_c2C81OJyR2ozJJh_S2gH7OEgp--q9P2yp-6PMoWuMgsHBgtyfO6Q7BkQfBoqBja_c2S81NE__uo8j1h_Oz08jOkqpo-QsnYUiFiP9oBrBY2gmUEUsnibm-xQcri6i-pPcOwQAowQA-wQAJibm-XP3Oig9-wQfgwy3zpUstaHmFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2QosnDHs1Do_ya9ZFiQBYsy3Njq3zxPcuwy3zpUsthHpHDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUst76AepoiFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDio_yaUiFiH_naomUDUsyp6mUDUsHfUiFio_rOUBOY?src=search&management_type=2&ob=23&keywords=bluetooth+speaker+lamp&t=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fputinshop%2Fspeaker-bluetooth-lampu-retak-music-portable-mini-support-mmc-usb-flas-putih%3Fsrc%3Dtopads&is_search=1&page=1&dv=desktop	Speaker Bluetooth Lampu Retak Music Portable Mini Support MMC USB Flas - Putih	249	21000
None	https://www.tokopedia.com/pinzyofficial/speaker-bluetooth-cl-671-smart-touch-portable-lamp?whid=0	SPEAKER BLUETOOTH CL-671 SMART TOUCH PORTABLE LAMP	5100	53000
None	https://www.tokopedia.com/warungkomp/bohlam-speaker-musik-bluetooth-2-in-1-lampu-speaker-led-lampu-speaker?whid=0	Bohlam Speaker Musik Bluetooth 2 in 1 Lampu Speaker LED LAMPU SPEAKER	216	55000
None	https://www.tokopedia.com/grosirltc/ms-0707-bohlam-lampu-led-musik-bluetooth-speaker-plus-remote?whid=0	MS-0707 bohlam lampu led musik bluetooth speaker plus remote	860	58000
None	https://www.tokopedia.com/starbig-1/speaker-bluetooth-wireless-lampu-music-led-rgb-bohlam-speaker?whid=0	speaker bluetooth wireless lampu music LED RGB bohlam speaker	1600	44500
None	https://www.tokopedia.com/unitechofficial/speaker-bluetooth-lampu-tidur-touch-lamp-model-sentuh-multifungsi?whid=0	Speaker Bluetooth Lampu Tidur Touch Lamp Model Sentuh Multifungsi	376	47000
None	https://www.tokopedia.com/berjuangteruss/lampu-music-led-rgb-speaker-lampu-led-bluetooth-wireless?whid=0	Lampu Music LED RGB Speaker Lampu LED Bluetooth Wireless	1300	44900
