Tokopedia Ads	URL	Product Name	Product Sold	Price
Ad	https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUE6AKR6AUfHAjDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUsthbm-7q3OBUsthosJpHsJposUpbm-srcHi6s1OHmFiy3zwrfo5rM1i6sjpHZddHAJfbm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1OAZ9o-Q1dFyfFN8B29zSBgHMP2_fB-81hk1_ovuJOE_7zSHJOkqpo6uJBR_SB-r7BWPchB3czfyfOZgMHa_SgsQuu2_fB-P7B2PfBiQ_BO3_-uq1Y2Z_u6uJVR_7Pg81OAHIBoqMoR_VzzHJNJz9zgqjgt39jFH7O1uM2oz720_OP-H1OEu3BHe72fyfODQMV9o3gqzOgR3A-Dq7BkQfBoe7BpZ37N83V9gICiQABRyf7Nqfz9_sCyHMh0Z325q1OAZ9o-Q_BNyuPjrc-D692xzpBR3A-Dq7BkQfBoe7BpZ3NcHu2yZsuyHO-t3sooq1Y2ZSooQ9xfgAod6c-JzSoiHfedgjx6Hc-y8AxizJNM_Bzg81B2PfBsHjNfyfO3gBBXZSgjH7NDZ325q1OkgRBHqMD7_M208JOEu_o6ucHaZ3BRq3Ha_SgsQugMyp-3qcoW_MY-qMY2_32s81hkz92vzJjO_Bzu8jOk1_CoqjJFZ3dFvZUDUSupg9-wq3ei6iUFUiFiy3hSUstirRzW9fFp9fFa9fFhUiFiQSuWyMua9fYM9fVjraUEHsnDUMNOQ3-BrBYxgIowrMuhUstaHmFiyfV79fBjraUE3pyFbAUObA1fHB7DUMNwyfVXgcBjy9zB9fVjraUEH_Jabm-xyBY7g9o7Usti_iUDUSC5rRzwy3hSUstiyRCs9RotQRCwP3NhUiFiPMuarfB5QiUEUSyaUiFiyfhOrRzBrBY2gVYfHiUE6_UNHmFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDio_yaUiFiH_naomUDUsyp6mUDUsHfUiFiosji997?dv=desktop&is_search=1&keywords=bluetooth+speaker+light&ob=23&src=search&page=1&t=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fvivanofficial%2Fvivan-vs6-speaker-bluetooth-5-0-rgb-lighting-effects-waterproof-ipx5-hitam%3Fsrc%3Dtopads&management_type=2	VIVAN VS6 Speaker Bluetooth 5.0 RGB Lighting Effects Waterproof IPX5 - Hitam	13	199900
Ad	https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUE6_UFHAeNHpjDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstabm-7q3OBUsthosJpHsJposUpbm-srcHi6sJFHAnDUMVj9RosQR-BUstNHsjXosnaHaFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z9BHqjJF_1zS8JNk_9B6qBuE_1zg8JOk_3BHe72a3BxDHfUpZMWyH7NkysoGQJBkQfBoe7BpZ37OPM-W_Mh-qMY2_OzuP7OJqcOoqjV7_32-H7OAHAC6zVVd_VP-8VB9_9z68j1h392mqu2JQcB6uJ7hZ3BRq3UpZSCqHMhO3A-ZQcoc69Cqe7jfZ32Cq1hAZSgsQ3hXyurOgMoUZSgqZVgkgJyNrV2AZ_g-qjV2_JoGPMoWQcNxupuMyp-tPMoc69Cqe7jfZ32Cq1hAZSxjuOgNguyNHVB9gI2-qMY2yjzGrfUpgAxMzRPdyjrNHfgU8I2jzpJdgjPR8BxEu_-oq1BpZ3N6qMUpZMhyHj2Nysoj8B2_Z_g-qjj7_7H7HJNkz_Vo8MrF_M2VH1OEgpC617BpZ3N6qMUpZMhyH7ND3uxGqMVAZ_g-qjjp_uH7HJY139PouJja_Oz-8jY1qRBo81tNUiFiP9oBrBY2gmUEUsnibm-xQcri6i-pPcOwQAowQA-wQAJibm-XP3Oig9-wQfgwy3zpUstaHmFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2QosnDHs1Do_ya9ZFiQBYsy3Njq3zxPcuwy3zpUsthH_UDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUst7osUOHmFiyfV7g3P5rSBwrRuSgfupPVYxPIzaq3-OPc1i6BDio_yaUiFiH_naomUDUsyp6mUDUsHfUiFiosji997?r_replacement=new&keywords=bluetooth+speaker+light&page=1&is_search=1&ob=23&management_type=1&t=desktop&dv=desktop&r=https%3A%2F%2Fwww.tokopedia.com%2Fgaleryfc%2Fvivan-vs6-speaker-bluetooth-suround-rgb-lighting-effects-waterproof%3Fsrc%3Dtopads&src=search	VIVAN VS6 Speaker Bluetooth SUROUND RGB Lighting Effects Waterproof	0	195900
Ad	https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEoAnNHsr7HAnDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstpbm-7q3OBUsthosJpHsJposUpbm-srcHi6sKFHmFiy3zwrfo5rM1i6sjaHmdaHpJabm-pHOYDQfri6i-B812kgJxGgBBXZSgjH7NDZ325q1OAZ9o-Q1dFyfFN8B29zSBgHMP2_fB-8jhk_92o8jOE_92o8jOE_92o8jOE_92uq1hAZS-q3cFpysoGqOKp_M2iH72DZ325q1OAZ9o-Q_ufyMO6QJBkQfBvuVuR_1ztQ1Oke9zoqjjp_1HFHJNJ19xHu7Bd3uPoPJNEz_Vg8j-23jzDq1N1__V-q9P2ysoGrVtaQIuyHB-Dy7yNrV2AZ_g-qjV2_JoGPMoWQcNxupuMy7xGPB2UuM2jzsBF3jo-ojBke3BHe72fyfODQMV9o3gsHMxfy7yNrV2AZ_g-qjV2_JoG8cz9uSBBusjF3uPj8jBkQfBizJ2pysoj6cgIPRxizpjpgjxd8MzIH_xMzRPE3I2uHjO2Z9o-QjNkysoGQVKaZSBiHfzE3Bo-ojBkZ_zoepea_92g81NkqpzvzcWR_M2Vo1B2PfBsHjNfyfO3gMHauMxsQ1N5Z325q1Ok3_zHqMHh_OzV8JOkgpuoqBVd_92zq3gzv_7ibm-Orfua9fBjUstiHmUDUMVDgaUEUSo7QuYDHOYDHBYDHZUDUMNOQ3-BrBY5gBYxgIHi6sUFbm-XP3Oig9-wy3zp9R-BrZUEHsnDUMoxPVY2gIHi6BDfHmFaoZFOos-Pbm-X9foxQMz2gcV7guYxgIHi6sJhHiFiy3-wPcupPmUEUjdibm-FQRo79fVDgaUEUMoFyOYpqcYF9RuXrZUDUSgBrSo2Qfdi6i-fHiUDUMoDP9o7g9-wq3zwPsUi6sefHs1Fbm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aUOosUibmUhHAU7UiFiosHdUiFiHpyibmUf6Z-Pwe?src=search&ob=23&management_type=2&t=desktop&keywords=bluetooth+speaker+light&r=https%3A%2F%2Fwww.tokopedia.com%2Fjesslyn2017%2Fspeaker-bluetooth-wireless-portable-jbl-tg157-charge-2-pulse-lights-hijau-tosha%3Fsrc%3Dtopads&page=1&dv=desktop&is_search=1	Speaker Bluetooth Wireless Portable JBL TG157 / Charge 2 Pulse Lights - Hijau Tosha	58	90000
Ad	https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEoseO6_rfHAeDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUst7bm-7q3OBUsthosJpHsJposUpbm-srcHi6s1OHmFiy3zwrfo5rM1i6sjF6ZdaoAjhoZFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z9P-q9P2y_-3o3ea69BqzsBE3_UN8u2_Z_g-qjV2_JoGP3Uao32q17jfZ320H1OJe_zqqjBR_Vz-81NEe9z6zVJF_uHhq1O9zM2Hucod_BPoPOBW1_ugqBuE_Bo-r7BW69BxufzFyMFNqO2yeMgxuOV2_fB-P7B2PfBiH72F3s-DPuKpeSBiHBUh3_oZgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Ao6QfUpeMgxuOV2_fB-P7B2PfBs3VgDyfNDgMzIzMNs81jfZ3OR83-I6_oMZIxp_uPdPMep8AxsHO-7gjxdr77h6AV6qjB2_JoG8Bja69BqusB2yf7NHfHau3Bvq1BN_M2oP1OEgpuo8jud_92VHJOku_zozco2_JoG8Bja69BqusBE3BPc8ujagfBvq1BN_M2uP1N1u9x68jOE_M2CH1O13_u617tNUiFiP9oBrBY2gmUEUsnibm-xQcri6i-pPcOwQAowQA-wQAJibm-XP3Oig9-wQfgwy3zpUstaHmFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2QosnDHs1Do_ya9ZFiQBYsy3Njq3zxPcuwy3zpUsthH_UDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aUOosUibmUhHAU7UiFiosHdUiFiHpyibmUf6Z-Pwe?ob=23&t=desktop&src=search&is_search=1&r=https%3A%2F%2Fwww.tokopedia.com%2F1112store%2Fspeaker-mini-led-light-speaker-bluetooth-speaker-wireless%3Fsrc%3Dtopads&page=1&keywords=bluetooth+speaker+light&management_type=1&dv=desktop	Speaker Mini LED Light - Speaker bluetooth - speaker wireless	6	27000
Ad	https://ta.tokopedia.com/promo/v1/clicks/8a-xgVY2gmUEo_UaosepH_HDUMVj9RzNrc1i6sJDUSC5rfB7q3YXUstObm-7q3OBUsthosJpHsJposUpbm-srcHi6sKFHmFiy3zwrfo5rM1i6sjF6mdFHpUOHaFirpowQcYSUstig9BGqMzUZMggQj2fgAo6QJBkQfBoe7BpZ3O6HcoD692qu7gN3_-Sq1Y2Z9P-q9P2y_-3o3ea69BqzsBE3_UN8u2_Z_g-qjV2_JoGP3Uao32q17jfZ320H1OJe_zqqjBR_Vz-81NEe9z6zVJF_uHhq1O9zM2Hucod_BPoPOBW1_ugqBuE_Bo-r7BW69BxufzFyMFNqO2yeMgxuOV2_fB-P7B2PfBiH72F3s-DPuKpeSBiHBUh3_oZgMV913Bvq1BRZ3BRq3UpZSCqHMhO3Ao6QfUpeMgxuOV2_fB-P7B2PfBs3VgDyfNDgMzIzMNs81jfZ3OR83-I6_oMZIxp_uPdPMep8AxsHO-7gjxdr77h6AV6qjB2_JoG8Bja69BqusB2yf7NHfHau3Bvq1BE_1zCP1OE3_zvzJJa_jzg8jOE__VvzJO2_JoG8Bja69BqusBE3BPc8ujagfBvq1BN_M2uP1O1qp-6zJBR_92uP7N1gpCo17tNUiFiP9oBrBY2gmUEUsnibm-xQcri6i-pPcOwQAowQA-wQAJibm-XP3Oig9-wQfgwy3zpUstaHmFiQSuWyMua9fVjrOYag9Ji6sUFbm-sy9zwq3zpUs2QosnDHs1Do_ya9ZFiQBYsy3Njq3zxPcuwy3zpUsthH_UDUMVi9RzBrRei6i-6UiFircYpPVYxQcri6i-srcowrfx5rVYOQSJibm-fg9-pq3YXUstiPsUibm-sQIupPcua9fBj9RyaUsth6A1dbm-sy9zBgfYa8uYpP3PSg9o79fV7PI-2ySu7gZUE3aUOosUibmUhHAU7UiFiosHdUiFiHpyibmUf6Z-Pwe?dv=desktop&is_search=1&r=https%3A%2F%2Fwww.tokopedia.com%2Fmitradecostore%2Fspeaker-bluetooth-jam-alarm-lampu-tidur-portable-colorfull-led-light%3Fsrc%3Dtopads&src=search&page=1&t=desktop&ob=23&management_type=1&keywords=bluetooth+speaker+light	Speaker Bluetooth Jam Alarm Lampu Tidur Portable Colorfull Led Light	68	185000
None	https://www.tokopedia.com/outdoorsply/light-bulb-bluetooth-speaker-lampu-bolam-7-led-warna-remote-controlled?whid=0	Light Bulb Bluetooth Speaker Lampu Bolam 7 LED Warna Remote Controlled	197	65000
None	https://www.tokopedia.com/visionmulticom/speaker-bluetooth-mini-glow-light?whid=0	Speaker Bluetooth Mini | Glow Light	1700	22500
None	https://www.tokopedia.com/rubicwear/jam-meja-digital-jam-alarm-bluetooth-speaker-colorful-led-light-a35?whid=0	Jam Meja Digital Jam Alarm Bluetooth Speaker Colorful LED Light - A35	35	169000
None	https://www.tokopedia.com/dealzid/jam-alarm-bluetooth-speaker-lampu-tidur-colorful-led-light?whid=0	Jam Alarm Bluetooth Speaker Lampu Tidur Colorful LED Light	17	169500
None	https://www.tokopedia.com/visionmulticom/speaker-bluetooth-jbl-charge-2-pulse-tg157-waterproof-lights-wireless?whid=0	Speaker Bluetooth JBL Charge 2+ Pulse TG157 Waterproof Lights Wireless	61	89900
None	https://www.tokopedia.com/mitradecostore/speaker-bluetooth-jam-alarm-lampu-tidur-portable-colorfull-led-light?whid=0	Speaker Bluetooth Jam Alarm Lampu Tidur Portable Colorfull Led Light	68	185000
None	https://www.tokopedia.com/visionmulticom/speaker-bluetooth-jbl-tg162-colorful-light-wireless-acoustic?whid=0	Speaker Bluetooth JBL TG162 Colorful Light Wireless Acoustic	140	44000
None	https://www.tokopedia.com/tacooofficial/bluetooth-wireless-mini-speaker-candle-led-light-lampu-hiasan-meja?whid=0	Bluetooth Wireless Mini Speaker Candle LED Light Lampu Hiasan Meja	66	89900
None	https://www.tokopedia.com/gaptechofficial/jbl-horizon-bluetooth-clock-radio-with-usb-charging-ambient-light-putih?whid=0	JBL Horizon Bluetooth Clock Radio with Usb Charging &amp; Ambient Light	43	1569000
None	https://www.tokopedia.com/mofan/speaker-bluetooth-led-s10-creck-speaker-mini-s10-crack-light-de029-biru?whid=0	Speaker Bluetooth LED S10 CRECK /Speaker Mini S10 Crack Light #DE029	1100	19500
